n,fail,reward,coins_mean,coins_p10,coins_p90,earned,spent,fails,boosters,walls,broke
1,0,16,411,376,444,111.4,0,0,0,0,0
2,0,16,432,397,465,21,0,0,0,0,0
3,0,16,458,423,491,26,0,0,0,0,0
4,0,16,489,454,522,31,0,0,0,0,0
5,0.005,16,525,490,558,36,0,0,0,0,0
6,0.045,16,565,531,599,39.3,0,0.067,0,0,0
7,0.055,16,603,572,640,38.2,0,0.067,0,0,0
8,0.05,16,640,613,681,37.6,0,0.053,0,0,0
9,0.06,16,787,729,873,146.2,0,0.067,0,0,0
10,0.415,16,642,530,738,35.3,179.5,0.153,1.153,0,0
11,0,16,679,566,779,36.9,0,0,0,0,0
12,0.015,16,717,592,820,38,0,0.013,0,0,0
13,0.08,16,755,623,861,37.5,0,0.08,0,0,0
14,0.095,16,791,659,902,36.4,0,0.12,0,0,0
15,0.195,16,824,683,943,32.8,0,0.263,0,0,0
16,0.23,16,688,515,880,32.8,168.5,0.117,1.117,0,0
17,0.26,16,666,420,903,158.3,180.1,0.157,1.157,0,0
18,0.285,16,530,271,776,33,169.3,0.11,1.1,0,0.01
19,0.285,16,395,123,642,33.1,168.1,0.16,1.09,0.007,0.063
20,0.6,16,263,60,513,30.2,162.5,0.39,1.14,0.063,0.187
21,0.085,16,295,84,549,31.8,0,0.087,0,0,0
22,0.225,16,197,53,425,32.1,129.4,0.173,0.903,0.03,0.24
23,0.235,16,144,42,327,32.7,85.9,0.127,0.69,0.02,0.417
24,0.22,16,112,47,187,33.5,65.6,0.123,0.543,0.017,0.563
25,0.205,17,153,65,251,180.4,139.2,0.1,1.063,0.013,0.023
26,0.225,17,106,47,163,35.5,82.3,0.16,0.743,0.043,0.373
27,0.42,17,88,43,130,31.1,49.8,0.48,0.473,0.16,0.847
28,0.4,17,84,41,120,28.6,31.9,0.473,0.31,0.147,1.017
29,0.405,17,78,36,115,26.6,32.7,0.533,0.317,0.167,1.05
30,0.66,17,73,34,113,23.2,28.4,0.88,0.277,0.347,1.257
