n,fail,reward,coins_mean,coins_p10,coins_p90,earned,spent,fails,boosters,walls,broke
1,0.06,16,406,376,444,105.9,0,0.05,0,0,0
2,0.06,16,427,397,465,20.8,0,0.043,0,0,0
3,0.06,16,452,423,491,25.1,0,0.073,0,0,0
4,0.06,16,481,454,522,28.9,0,0.08,0,0,0
5,0.06,16,513,470,558,32.8,0,0.063,0,0,0
6,0.06,16,549,491,599,35.9,0,0.09,0,0,0
7,0.06,16,585,527,640,36,0,0.073,0,0,0
8,0.06,16,621,553,681,35.6,0,0.09,0,0,0
9,0.06,16,769,684,873,147.5,0,0.057,0,0,0
10,0.45,16,624,473,738,34.3,179.3,0.19,1.187,0.003,0
11,0.075,16,658,501,779,34.8,0,0.073,0,0,0
12,0.075,16,694,537,820,35.3,0,0.073,0,0,0
13,0.15,16,727,558,861,33.5,0,0.2,0,0,0
14,0.175,16,759,587,902,32.1,0,0.24,0,0,0
15,0.2,16,626,443,794,32.9,166.1,0.1,1.1,0,0
16,0.225,16,500,286,704,33.7,160.3,0.08,1.073,0,0.007
17,0.25,16,489,215,735,161.6,171.9,0.137,1.133,0,0.003
18,0.275,16,359,93,616,33.5,163.9,0.16,1.07,0.017,0.073
19,0.3,16,258,57,523,33.3,134.3,0.157,0.963,0.02,0.173
20,0.6,16,163,43,343,29.2,123.5,0.463,0.913,0.12,0.43
21,0.075,16,194,74,384,30.9,0,0.087,0,0.003,0
22,0.225,16,133,45,260,31.7,93.2,0.187,0.75,0.05,0.387
23,0.225,16,99,38,156,31.9,65.9,0.167,0.58,0.03,0.557
24,0.225,16,88,43,127,31.6,42.6,0.217,0.383,0.033,0.8
25,0.225,17,136,56,222,183.5,135.8,0.083,1.043,0.007,0.033
26,0.225,17,94,47,141,34,75.4,0.177,0.66,0.033,0.483
27,0.4,17,84,43,123,30.8,40.9,0.477,0.397,0.157,0.923
28,0.4,17,84,40,121,27.9,27.5,0.517,0.27,0.167,1.08
29,0.4,17,73,32,114,27.1,38.7,0.417,0.387,0.133,0.897
30,0.6,17,70,34,107,23.4,26.3,0.87,0.263,0.327,1.28
31,0.075,17,97,61,136,26.8,0,0.123,0,0.017,0
32,0.225,17,81,37,117,28.6,44.7,0.23,0.447,0.047,0.737
33,0.225,17,135,66,215,193,138.9,0.113,1.047,0.013,0.053
34,0.225,17,94,45,141,32.3,72.9,0.18,0.697,0.03,0.453
35,0.225,17,83,39,128,32.9,44.3,0.193,0.44,0.017,0.737
36,0.225,17,83,44,123,32.7,32.7,0.183,0.327,0.037,0.82
37,0.4,17,81,42,122,29.6,31.3,0.487,0.313,0.153,1.02
38,0.4,17,79,38,116,27.7,29.3,0.473,0.293,0.133,1.047
39,0.4,17,75,37,115,26.8,31,0.46,0.31,0.13,1.02
40,0.6,17,74,36,113,24,24.7,0.82,0.247,0.32,1.253
41,0.075,17,277,210,343,202.8,0,0.097,0,0,0
42,0.225,17,153,62,244,29.9,153.8,0.113,1.083,0.01,0.02
43,0.225,17,100,45,157,32.5,86,0.123,0.74,0.027,0.357
44,0.225,17,84,42,125,32.4,47.7,0.22,0.46,0.027,0.733
45,0.225,17,81,42,123,32.8,35.7,0.193,0.357,0.023,0.813
46,0.225,17,81,42,124,32.5,32.7,0.193,0.327,0.03,0.837
47,0.4,17,82,45,122,29.6,29,0.41,0.29,0.12,1
48,0.4,17,79,38,115,28.1,31.3,0.43,0.313,0.113,1.003
49,0.4,17,148,55,248,219.9,150.7,0.23,1.113,0.04,0.077
50,0.6,17,88,37,157,27.5,87.7,0.543,0.78,0.19,0.573
51,0.075,17,118,65,196,30.1,0,0.07,0,0,0
52,0.225,17,87,43,132,32.2,62.8,0.15,0.583,0.027,0.54
53,0.225,17,81,39,120,32.5,38.3,0.19,0.38,0.023,0.787
54,0.225,17,82,44,125,32.4,32,0.19,0.32,0.013,0.857
55,0.225,17,82,44,118,33,33.3,0.2,0.333,0.05,0.817
56,0.225,17,84,43,124,32.1,29.7,0.25,0.297,0.05,0.903
57,0.4,17,148,60,238,216.6,152.2,0.197,1.113,0.033,0.05
58,0.4,17,94,42,150,31.4,85.9,0.323,0.74,0.11,0.473
59,0.4,17,82,40,120,29.3,41.1,0.433,0.403,0.107,0.923
60,0.6,17,75,36,112,25,31.7,0.83,0.317,0.32,1.193
61,0.075,17,103,61,142,28.1,0,0.07,0,0.003,0
62,0.225,17,78,38,123,30.1,55.3,0.17,0.553,0.033,0.583
63,0.225,17,80,42,120,30.7,29.3,0.223,0.293,0.053,0.877
64,0.225,17,85,44,124,30.9,25.7,0.267,0.257,0.057,0.953
65,0.225,17,156,72,247,221.6,150.4,0.107,1.053,0.01,0.043
66,0.225,17,98,48,154,33.1,91.3,0.15,0.8,0.02,0.33
67,0.4,17,84,42,122,30.4,43.9,0.427,0.423,0.133,0.87
68,0.4,17,75,33,115,28.7,38.3,0.42,0.383,0.11,0.927
69,0.4,17,75,35,114,27.4,26.7,0.457,0.267,0.147,1.043
70,0.6,17,75,37,112,23.9,24.3,0.863,0.243,0.337,1.283
71,0.075,17,102,64,137,27.1,0,0.09,0,0.007,0
72,0.225,17,78,39,121,29.5,53.6,0.163,0.533,0.04,0.59
73,0.225,17,154,58,254,220,143.7,0.09,1.03,0.017,0.043
74,0.225,17,95,42,156,33.6,92.5,0.153,0.793,0.013,0.347
75,0.225,18,89,50,133,35.2,41.4,0.19,0.39,0.037,0.763
76,0.225,18,86,46,126,34,37.3,0.197,0.373,0.027,0.797
77,0.4,18,82,43,121,31.5,35,0.433,0.35,0.127,0.957
78,0.4,18,77,34,116,29,34.3,0.46,0.343,0.113,1.003
79,0.4,18,77,35,115,27.7,27.7,0.493,0.277,0.153,1.063
80,0.6,18,74,33,112,25.4,28.7,0.743,0.287,0.287,1.17
81,0.075,18,290,221,353,216,0,0.097,0,0,0
82,0.225,18,170,73,269,31.4,150.9,0.117,1.067,0.017,0.033
83,0.225,18,103,49,181,33.9,101,0.113,0.85,0.017,0.247
84,0.225,18,88,48,126,34.2,48.9,0.193,0.45,0.03,0.713
85,0.225,18,84,45,129,34.6,39,0.187,0.39,0.037,0.76
86,0.225,18,81,43,120,33.5,36.3,0.227,0.363,0.043,0.82
87,0.4,18,77,41,120,30.1,34,0.473,0.34,0.117,1.017
88,0.4,18,82,42,118,28.3,23.7,0.453,0.237,0.117,1.1
89,0.4,18,148,55,252,218.8,152.9,0.173,1.1,0.033,0.04
90,0.6,18,89,39,142,29.3,88.7,0.497,0.773,0.187,0.537
91,0.075,18,121,72,176,32.1,0,0.077,0,0.003,0
92,0.225,18,84,42,127,33.6,70.6,0.16,0.667,0.023,0.47
93,0.225,18,83,45,123,33.6,34.3,0.217,0.34,0.037,0.84
94,0.225,18,83,44,121,33.1,33.3,0.223,0.333,0.033,0.857
95,0.225,18,83,41,122,31.6,31.7,0.317,0.317,0.063,0.937
96,0.225,18,81,40,125,32.2,34,0.19,0.34,0.033,0.817
97,0.4,18,144,48,240,219.6,156.4,0.21,1.097,0.043,0.07
98,0.4,18,94,43,152,32.5,83.1,0.3,0.713,0.087,0.5
99,0.4,18,84,43,127,31.1,40.3,0.363,0.39,0.097,0.877
100,0.6,18,75,36,112,27.3,36.3,0.703,0.363,0.237,1.103
101,0.075,18,105,62,139,30,0,0.1,0,0.01,0
102,0.225,18,79,37,122,30.7,56.9,0.22,0.567,0.033,0.62
103,0.225,18,80,44,124,31.6,30.3,0.213,0.303,0.043,0.867
104,0.225,18,85,49,123,33,28.3,0.187,0.283,0.03,0.873
105,0.225,18,153,65,247,224.7,156.5,0.103,1.05,0.02,0.033
106,0.225,18,100,48,165,35.5,88.8,0.147,0.777,0.033,0.337
107,0.4,18,88,47,124,33.2,45.1,0.367,0.44,0.09,0.837
108,0.4,18,81,36,121,30.4,37.3,0.447,0.37,0.133,0.943
109,0.4,18,75,37,113,28.6,35,0.44,0.35,0.127,0.963
110,0.6,18,76,37,113,24.9,24,0.813,0.24,0.313,1.26
111,0.075,18,104,64,140,28.5,0,0.073,0,0.003,0
112,0.225,18,82,39,124,30.4,52.9,0.207,0.527,0.05,0.63
113,0.225,18,153,59,257,223.6,152.3,0.11,1.06,0.02,0.03
114,0.225,18,100,50,162,34.8,87.4,0.143,0.77,0.033,0.34
115,0.225,18,87,43,130,35.6,49,0.183,0.477,0.047,0.66
116,0.225,18,83,44,124,34.7,38.9,0.203,0.387,0.037,0.78
117,0.4,18,80,42,119,31.8,34.3,0.407,0.343,0.117,0.947
118,0.4,18,81,40,119,29.1,28,0.493,0.28,0.143,1.07
119,0.4,18,80,37,118,27.8,28.7,0.477,0.287,0.133,1.057
120,0.6,18,70,31,111,24.6,34.7,0.8,0.347,0.273,1.18
121,0.075,18,288,225,357,217.1,0,0.06,0,0,0
122,0.225,18,161,62,252,31.3,158.3,0.097,1.07,0.01,0.017
123,0.225,18,103,47,168,33.3,90.9,0.147,0.803,0.02,0.323
124,0.225,18,88,47,127,34.3,49.1,0.2,0.46,0.04,0.7
125,0.225,19,84,44,124,35.3,38.9,0.22,0.387,0.04,0.793
126,0.225,19,86,41,129,33.7,32.7,0.26,0.327,0.05,0.883
127,0.4,19,79,41,122,31.7,38,0.393,0.38,0.11,0.903
128,0.4,19,82,44,119,29.8,27,0.43,0.27,0.117,1.043
129,0.4,19,142,51,243,216.5,156.9,0.237,1.133,0.053,0.05
130,0.6,19,90,40,146,30.1,81.5,0.497,0.713,0.197,0.587
131,0.075,19,123,71,188,32.8,0,0.087,0,0.01,0
132,0.225,19,87,44,130,34.8,70.9,0.127,0.67,0.02,0.437
133,0.225,19,85,44,126,34.4,36.3,0.22,0.36,0.037,0.823
134,0.225,19,85,45,126,33.8,34.3,0.23,0.343,0.043,0.843
135,0.225,19,83,41,121,33.7,35.3,0.243,0.353,0.043,0.847
136,0.225,19,82,42,121,33.4,34.7,0.187,0.347,0.02,0.82
137,0.4,19,148,56,241,221.5,155.2,0.147,1.077,0.017,0.053
138,0.4,19,96,44,160,33.4,85.5,0.36,0.763,0.117,0.48
139,0.4,19,84,44,123,31.5,43.1,0.467,0.423,0.16,0.883
140,0.6,19,76,35,116,27.7,35.5,0.743,0.35,0.277,1.117
141,0.2,19,79,36,119,29.4,26.3,0.183,0.263,0.027,0.893
142,0.2,19,79,36,122,31.5,32,0.183,0.32,0.04,0.823
143,0.2,19,81,44,122,32.1,29.7,0.22,0.297,0.033,0.89
144,0.2,19,85,42,124,33.2,30,0.19,0.3,0.023,0.867
145,0.2,19,162,67,256,222.6,144.9,0.09,1.06,0.01,0.02
146,0.2,19,103,46,173,36.6,95.9,0.12,0.813,0.033,0.273
147,0.4,19,87,46,128,33.5,49.3,0.373,0.477,0.097,0.8
148,0.4,19,78,38,118,30.4,39.3,0.467,0.393,0.123,0.95
149,0.4,19,81,40,119,28.8,26.3,0.477,0.263,0.137,1.077
150,0.6,19,75,38,114,26.8,32.3,0.743,0.323,0.273,1.147
151,0.2,19,80,37,120,28.6,23.3,0.243,0.233,0.037,0.973
152,0.2,19,82,42,123,30.7,29,0.157,0.29,0.01,0.857
153,0.2,19,153,63,252,222.3,151.4,0.06,1.03,0.007,0.023
154,0.2,19,101,49,168,35.9,87.6,0.113,0.767,0.02,0.327
155,0.2,19,89,46,126,36.6,48.7,0.177,0.467,0.03,0.68
156,0.2,19,81,41,124,36,43.9,0.17,0.437,0.03,0.703
157,0.4,19,83,46,118,32.3,30.7,0.463,0.307,0.15,1.007
158,0.4,19,80,38,115,29.7,32.3,0.493,0.323,0.14,1.03
159,0.4,19,76,34,115,28.6,32.3,0.473,0.323,0.137,1.013
160,0.6,19,74,35,115,25.9,28.7,0.83,0.287,0.313,1.23
161,0.2,19,142,46,229,215.2,147,0.12,1.06,0.017,0.043
162,0.2,19,93,39,160,31.5,80.4,0.157,0.733,0.02,0.403
163,0.2,19,85,48,125,33.1,40.8,0.18,0.4,0.027,0.753
164,0.2,19,85,44,123,34.1,34,0.227,0.34,0.06,0.827
165,0.2,19,82,42,121,34.4,38,0.207,0.38,0.02,0.807
166,0.2,19,82,42,127,33.8,33,0.22,0.33,0.033,0.857
167,0.4,19,81,42,119,30.9,32.7,0.497,0.327,0.143,1.027
168,0.4,19,80,40,119,28.4,29,0.527,0.29,0.157,1.08
169,0.4,19,144,58,235,217.7,154.1,0.243,1.1,0.063,0.08
